,Date,Open,High,Low,Close,Adj Close,Volume
0,2010/11/24,9942.540039,10064.30957,9904.919922,10030.11035,10030.11035,150100
1,2010/11/25,10117.84961,10123.26953,10038.79004,10079.75977,10079.75977,133800
2,2010/11/26,10078.08984,10134.63965,10039.55957,10039.55957,10039.55957,115800
3,2010/11/29,10075.66016,10149.94043,10044.00977,10125.99023,10125.99023,124800
4,2010/11/30,10070.30957,10101.41992,9937.040039,9937.040039,9937.040039,153300
5,2010/12/1,9939.799805,9988.049805,9918.549805,9988.049805,9988.049805,122600
6,2010/12/2,10151.15039,10187.58984,10143.08008,10168.51953,10168.51953,131400
7,2010/12/3,10231.780270000001,10254.0,10154.99023,10178.32031,10178.32031,107700
8,2010/12/6,10175.23047,10179.82031,10143.58008,10167.23047,10167.23047,95300
9,2010/12/7,10152.91992,10167.09961,10094.41016,10141.09961,10141.09961,114800
10,2010/12/8,10200.16016,10258.90039,10184.32031,10232.33008,10232.33008,126600
11,2010/12/9,10277.87012,10298.25,10240.11035,10285.87988,10285.87988,153400
12,2010/12/10,10373.7002,10373.7002,10194.26953,10211.9502,10211.9502,240700
13,2010/12/13,10212.51953,10293.88965,10199.73047,10293.88965,10293.88965,145300
14,2010/12/14,10272.7002,10319.24023,10267.219729999999,10316.76953,10316.76953,170500
15,2010/12/15,10338.13965,10340.69043,10282.84961,10309.780270000001,10309.780270000001,137400
16,2010/12/16,10297.549809999999,10347.38965,10282.54004,10311.29004,10311.29004,140800
17,2010/12/17,10307.16992,10327.41992,10280.799809999999,10303.83008,10303.83008,140400
18,2010/12/20,10296.549809999999,10301.15039,10182.74023,10216.41016,10216.41016,113600
19,2010/12/21,10277.13965,10372.50977,10266.29004,10370.530270000001,10370.530270000001,113300
20,2010/12/22,10348.48047,10394.219729999999,10327.59961,10346.48047,10346.48047,142100
21,2010/12/24,10275.969729999999,10290.88965,10264.05957,10279.19043,10279.19043,86200
22,2010/12/27,10292.83984,10376.91016,10292.83984,10355.99023,10355.99023,83100
23,2010/12/28,10330.00977,10340.83984,10292.62988,10292.62988,10292.62988,77900
24,2010/12/29,10282.83984,10344.54004,10276.61035,10344.54004,10344.54004,87600
25,2010/12/30,10303.12988,10315.469729999999,10209.92969,10228.91992,10228.91992,107800
26,2011/1/4,10352.19043,10409.16992,10321.280270000001,10398.09961,10398.09961,114100
27,2011/1/5,10387.9502,10413.4502,10358.00977,10380.76953,10380.76953,114600
28,2011/1/6,10477.51953,10530.11035,10477.51953,10529.75977,10529.75977,166000
29,2011/1/7,10506.719729999999,10550.70996,10503.01953,10541.04004,10541.04004,161800
30,2011/1/11,10484.62012,10538.38965,10476.29004,10510.67969,10510.67969,138500
31,2011/1/12,10562.280270000001,10576.50977,10502.95996,10512.799809999999,10512.799809999999,170700
32,2011/1/13,10593.45996,10620.57031,10565.280270000001,10589.75977,10589.75977,160900
33,2011/1/14,10502.76953,10579.969729999999,10497.25977,10499.04004,10499.04004,170900
34,2011/1/17,10562.08984,10562.38965,10482.69043,10502.86035,10502.86035,126700
35,2011/1/18,10461.04004,10548.20996,10456.70996,10518.98047,10518.98047,126400
36,2011/1/19,10567.87988,10580.67969,10534.01953,10557.09961,10557.09961,138600
37,2011/1/20,10492.32031,10505.62988,10421.83008,10437.30957,10437.30957,132900
38,2011/1/21,10459.04004,10461.07031,10257.99023,10274.51953,10274.51953,183900
39,2011/1/24,10318.59961,10347.94043,10278.80957,10345.11035,10345.11035,134100
40,2011/1/25,10374.63965,10480.24023,10355.799809999999,10464.41992,10464.41992,142900
